state,total_counties,counties_with_data,counties_without_data,coverage_pct
AK,29,6,23,20.7%
AL,67,59,8,88.1%
AR,75,53,22,70.7%
AZ,15,14,1,93.3%
CA,58,56,2,96.6%
CO,64,47,17,73.4%
CT,8,8,0,100.0%
DC,1,1,0,100.0%
DE,3,3,0,100.0%
FL,67,56,11,83.6%
GA,159,106,53,66.7%
HI,5,4,1,80.0%
IA,99,90,9,90.9%
ID,44,33,11,75.0%
IL,102,77,25,75.5%
IN,92,75,17,81.5%
KS,105,95,10,90.5%
KY,120,77,43,64.2%
LA,64,56,8,87.5%
MA,14,14,0,100.0%
MD,24,20,4,83.3%
ME,16,15,1,93.8%
MI,83,71,12,85.5%
MN,87,79,8,90.8%
MO,115,69,46,60.0%
MS,82,71,11,86.6%
MT,56,48,8,85.7%
NC,100,80,20,80.0%
ND,53,35,18,66.0%
NE,93,67,26,72.0%
NH,10,10,0,100.0%
NJ,21,21,0,100.0%
NM,33,26,7,78.8%
NV,17,14,3,82.4%
NY,62,57,5,91.9%
OH,88,77,11,87.5%
OK,77,70,7,90.9%
OR,36,32,4,88.9%
PA,67,59,8,88.1%
RI,5,4,1,80.0%
SC,46,37,9,80.4%
SD,66,43,23,65.2%
TN,95,72,23,75.8%
TX,254,179,75,70.5%
UT,29,23,6,79.3%
VA,134,65,69,48.5%
VT,14,12,2,85.7%
WA,39,36,3,92.3%
WI,72,64,8,88.9%
WV,55,38,17,69.1%
WY,23,22,1,95.7%
