state,mean_pih_mean,mean_pih_median,mean_pih_std,mean_pih_count,n_calculations_sum
DC,0.117986,0.117986,,1,72
VA,0.109559,0.060176,0.150737,65,4531
PA,0.097747,0.051841,0.299467,59,4224
MD,0.087339,0.078846,0.060145,20,1440
GA,0.070967,0.04554,0.076192,105,7363
NJ,0.062564,0.050847,0.041667,21,1507
DE,0.060382,0.06003,0.001718,3,216
FL,0.054102,0.058785,0.036624,56,3956
WV,0.052178,0.012501,0.072012,38,2707
CT,0.051263,0.061512,0.030861,8,576
MO,0.051239,0.030784,0.065866,69,4819
HI,0.049164,0.062342,0.027428,4,286
TX,0.048772,0.024947,0.058097,179,12397
NC,0.048575,0.038565,0.04954,80,5734
NY,0.048178,0.041864,0.040402,52,3717
SC,0.046305,0.042779,0.038816,37,2640
OH,0.044658,0.031037,0.040851,77,5543
KY,0.043838,0.018995,0.055856,77,5448
RI,0.043336,0.042966,0.023352,4,288
AZ,0.041566,0.033741,0.028666,14,992
KS,0.039737,0.003527,0.198146,95,6129
AL,0.039032,0.025891,0.041937,59,4205
TN,0.038681,0.023526,0.046239,72,5070
CO,0.038675,0.009896,0.096124,46,3206
AR,0.038614,0.011068,0.073294,53,3784
MI,0.03772,0.021688,0.042686,71,5051
CA,0.037197,0.033292,0.025589,56,3996
MS,0.036446,0.017533,0.048659,71,4950
IN,0.036414,0.022123,0.036627,75,5399
IL,0.030751,0.012249,0.037048,77,5510
ME,0.030615,0.01007,0.035345,15,1063
NV,0.028605,0.019707,0.033926,14,964
MA,0.028496,0.031733,0.01934,14,978
OK,0.026632,0.010012,0.036146,70,4776
OR,0.026596,0.008823,0.034626,32,2275
NM,0.025257,0.017046,0.025718,26,1854
NH,0.024154,0.021669,0.021456,10,718
WA,0.024052,0.017535,0.024187,36,2547
LA,0.023486,0.011063,0.031472,56,4004
WI,0.021429,0.008829,0.02724,64,4582
WY,0.017817,0.00793,0.022079,22,1541
MN,0.015839,0.004603,0.032518,78,5512
MT,0.015591,0.003545,0.027362,48,3175
ID,0.015216,0.001892,0.026979,33,2357
AK,0.01461,0.014124,0.012105,6,431
ND,0.013881,0.001063,0.033899,35,2300
NE,0.013839,0.001481,0.027029,67,3936
IA,0.012903,0.003054,0.026425,90,6389
SD,0.011227,0.002252,0.028228,43,2867
UT,0.010037,0.003204,0.015542,23,1629
VT,0.008684,0.005114,0.008795,12,833
