collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_and_pediatric_covid_patients
8/2/20,NV,32510,7.9,0,7.9
8/9/20,NV,32510,0.0,0,0.0
8/16/20,NV,32510,0.0,0,0.0
8/23/20,NV,32510,5.1,0,5.1
8/30/20,NV,32510,4.1,0,4.1
9/6/20,NV,32510,4.7,0,4.7
9/13/20,NV,32510,0.0,0,0.0
9/20/20,NV,32510,4.3,0,4.3
9/27/20,NV,32510,0.0,0,0.0
10/4/20,NV,32510,7.4,0,7.4
10/11/20,NV,32510,6.9,0,6.9
10/18/20,NV,32510,5.6,0,5.6
10/25/20,NV,32510,13.6,0,13.6
11/1/20,NV,32510,34.1,0,34.1
11/8/20,NV,32510,43.7,0,43.7
11/15/20,NV,32510,52.7,0,52.7
11/22/20,NV,32510,46.9,0,46.9
11/29/20,NV,32510,56.7,0,56.7
12/6/20,NV,32510,71.1,0,71.1
12/13/20,NV,32510,73.4,0,73.4
12/20/20,NV,32510,61.1,0,61.1
12/27/20,NV,32510,45.3,0,45.3
1/3/21,NV,32510,32.4,0,32.4
1/10/21,NV,32510,31.0,0,31.0
1/17/21,NV,32510,23.7,0,23.7
1/24/21,NV,32510,16.6,0,16.6
1/31/21,NV,32510,10.9,0,10.9
2/7/21,NV,32510,8.0,0,8.0
2/14/21,NV,32510,9.1,0,9.1
2/21/21,NV,32510,7.9,0,7.9
2/28/21,NV,32510,9.1,0,9.1
3/7/21,NV,32510,7.4,0,7.4
3/14/21,NV,32510,6.9,0,6.9
3/21/21,NV,32510,4.0,0,4.0
3/28/21,NV,32510,7.7,0,7.7
4/4/21,NV,32510,5.4,0,5.4
4/11/21,NV,32510,7.1,0,7.1
4/18/21,NV,32510,8.9,0,8.9
4/25/21,NV,32510,7.0,0,7.0
5/2/21,NV,32510,5.9,0,5.9
5/9/21,NV,32510,0.0,0,0.0
5/16/21,NV,32510,0.0,0,0.0
5/23/21,NV,32510,0.0,0,0.0
5/30/21,NV,32510,4.1,0,4.1
6/6/21,NV,32510,4.1,0,4.1
6/13/21,NV,32510,0.0,0,0.0
6/20/21,NV,32510,5.1,0,5.1
6/27/21,NV,32510,5.0,0,5.0
7/4/21,NV,32510,8.1,0,8.1
7/11/21,NV,32510,4.7,0,4.7
7/18/21,NV,32510,0.0,0,0.0
7/25/21,NV,32510,6.4,0,6.4
8/1/21,NV,32510,11.7,0,11.7
8/8/21,NV,32510,17.3,0,17.3
8/15/21,NV,32510,29.9,0,29.9
8/22/21,NV,32510,39.3,0,39.3
8/29/21,NV,32510,38.1,0,38.1
9/5/21,NV,32510,52.3,0,52.3
9/12/21,NV,32510,43.4,0,43.4
9/19/21,NV,32510,39.0,0,39.0
9/26/21,NV,32510,40.1,0,40.1
10/3/21,NV,32510,32.1,0,32.1
10/10/21,NV,32510,22.3,0,22.3
10/17/21,NV,32510,23.3,0,23.3
10/24/21,NV,32510,24.4,0,24.4
10/31/21,NV,32510,28.1,0,28.1
11/7/21,NV,32510,25.3,0,25.3
11/14/21,NV,32510,26.3,0,26.3
11/21/21,NV,32510,24.1,0,24.1
11/28/21,NV,32510,19.7,0,19.7
12/5/21,NV,32510,17.3,0,17.3
12/12/21,NV,32510,12.3,0,12.3
12/19/21,NV,32510,13.4,0,13.4
12/26/21,NV,32510,16.1,0,16.1
