date,active_cases,hospitalized,ratio
2020-08-02,68.0,7.9,8.60759493670886
2020-08-23,54.0,5.1,10.588235294117649
2020-08-30,39.0,4.1,9.51219512195122
2020-09-06,42.0,4.7,8.936170212765957
2020-09-20,74.0,4.3,17.209302325581397
2020-10-04,43.0,7.4,5.8108108108108105
2020-10-11,62.0,6.9,8.98550724637681
2020-10-18,91.0,5.6,16.25
2020-10-25,124.0,13.6,9.117647058823529
2020-11-01,136.0,34.1,3.9882697947214076
2020-11-08,252.0,43.7,5.7665903890160175
2020-11-15,256.0,52.7,4.857685009487666
2020-11-22,635.0,46.9,13.539445628997868
2020-11-29,1357.0,56.7,23.932980599647266
2020-12-06,1284.0,71.1,18.059071729957807
2020-12-13,1474.0,73.4,20.08174386920981
2020-12-20,1619.0,61.1,26.497545008183305
2020-12-27,850.0,45.3,18.763796909492275
2021-01-03,602.0,32.4,18.580246913580247
2021-01-10,601.0,31.0,19.387096774193548
2021-01-17,397.0,23.7,16.751054852320674
2021-01-24,304.0,16.6,18.31325301204819
2021-01-31,196.0,10.9,17.98165137614679
2021-02-07,118.0,8.0,14.75
2021-02-14,94.0,9.1,10.32967032967033
2021-02-21,82.0,7.9,10.379746835443038
2021-02-28,88.0,9.1,9.670329670329672
2021-03-07,107.0,7.4,14.45945945945946
2021-03-14,82.0,6.9,11.884057971014492
2021-03-21,66.0,4.0,16.5
2021-03-28,166.0,7.7,21.558441558441558
2021-04-04,192.0,5.4,35.55555555555555
2021-04-11,114.0,7.1,16.056338028169016
2021-04-18,123.0,8.9,13.820224719101123
2021-04-25,127.0,7.0,18.142857142857142
2021-05-02,100.0,5.9,16.94915254237288
2021-05-30,47.0,4.1,11.463414634146343
2021-06-06,46.0,4.1,11.219512195121952
2021-06-20,32.0,5.1,6.274509803921569
2021-06-27,33.0,5.0,6.6
2021-07-04,38.0,8.1,4.691358024691358
2021-07-11,28.0,4.7,5.957446808510638
2021-07-25,56.0,6.4,8.75
2021-08-01,92.0,11.7,7.863247863247864
2021-08-08,140.0,17.3,8.092485549132947
2021-08-15,239.0,29.9,7.993311036789298
2021-08-22,300.0,39.3,7.633587786259542
2021-08-29,349.0,38.1,9.16010498687664
2021-09-05,460.0,52.3,8.795411089866157
2021-09-12,497.0,43.4,11.451612903225806
2021-09-19,444.0,39.0,11.384615384615385
2021-09-26,380.0,40.1,9.476309226932669
2021-10-03,286.0,32.1,8.909657320872274
2021-10-10,285.0,22.3,12.780269058295964
2021-10-17,328.0,23.3,14.07725321888412
2021-10-24,263.0,24.4,10.778688524590164
2021-10-31,191.0,28.1,6.797153024911032
2021-11-07,309.0,25.3,12.213438735177865
2021-11-14,322.0,26.3,12.243346007604563
2021-11-21,232.0,24.1,9.62655601659751
2021-11-28,187.0,19.7,9.49238578680203
2021-12-05,164.0,17.3,9.479768786127167
2021-12-12,167.0,12.3,13.577235772357723
2021-12-19,150.0,13.4,11.194029850746269
2021-12-26,158.0,16.1,9.813664596273291
