date,active_cases,total_adult_and_pediatric_covid_patients
8/2/20,527.0,54.3
8/9/20,378.0,58.900000000000006
8/16/20,337.0,51.400000000000006
8/23/20,249.0,41.8
8/30/20,166.0,40.2
9/6/20,165.0,36.7
9/13/20,140.0,31.4
9/20/20,102.0,27.9
9/27/20,136.0,28.1
10/4/20,138.0,36.6
10/11/20,141.0,26.7
10/18/20,189.0,31.9
10/25/20,183.0,35.5
11/1/20,183.0,32.3
11/8/20,191.0,33.400000000000006
11/15/20,200.0,40.3
11/22/20,269.0,36.7
11/29/20,308.0,40.8
12/6/20,410.0,31.3
12/13/20,448.0,32.7
12/20/20,386.0,30.4
12/27/20,465.0,30.1
1/3/21,620.0,27.700000000000003
1/10/21,529.0,26.200000000000003
1/17/21,318.0,25.0
1/24/21,294.0,26.299999999999997
1/31/21,252.0,20.9
2/7/21,135.0,20.299999999999997
2/14/21,84.0,16.1
2/21/21,55.0,13.100000000000001
2/28/21,105.0,11.8
3/7/21,112.0,13.6
3/14/21,27.0,12.9
3/21/21,22.0,8.0
3/28/21,18.0,10.4
4/4/21,7.0,9.0
4/11/21,17.0,5.9
4/25/21,20.0,4.1
5/2/21,17.0,5.0
5/16/21,28.0,4.6
5/23/21,45.0,4.0
5/30/21,50.0,4.0
7/4/21,23.0,0.0
7/11/21,31.0,0.0
7/18/21,17.0,0.0
7/25/21,54.0,9.6
8/1/21,130.0,13.7
8/8/21,200.0,20.0
8/15/21,251.0,30.3
8/22/21,351.0,27.1
8/29/21,352.0,32.9
9/5/21,375.0,29.799999999999997
9/12/21,419.0,30.4
9/19/21,395.0,23.0
9/26/21,485.0,21.0
10/3/21,371.0,14.4
10/10/21,224.0,7.3
10/17/21,157.0,7.3
10/24/21,112.0,4.4
12/12/21,21.0,4.3
12/19/21,42.0,5.4
12/26/21,47.0,5.6
